file,source_exists,rows,adj_factor_missing,zero_vol,zero_amount,nonpositive_open,nonpositive_high,nonpositive_low,nonpositive_close,invalid_ohlc
150001.SZ.parquet,True,380780,0,37355,37360,0,0,0,0,0
150002.SZ.parquet,True,208706,0,49857,49829,0,0,0,0,0
150003.SZ.parquet,True,245579,0,124782,124713,0,0,0,0,0
150006.SZ.parquet,True,173279,0,105155,105140,0,0,0,0,0
150007.SZ.parquet,True,173279,0,22646,22644,0,0,0,0,0
150008.SZ.parquet,True,632384,0,541792,541800,0,0,0,0,0
150009.SZ.parquet,True,632384,0,528001,528009,0,0,0,0,0
150010.SZ.parquet,True,171833,0,147925,147920,0,0,0,0,0
150011.SZ.parquet,True,171833,0,59308,59287,0,0,0,0,0
150012.SZ.parquet,True,612863,0,462636,462639,0,0,0,0,0
150013.SZ.parquet,True,612863,0,303481,303481,0,0,0,0,0
150016.SZ.parquet,True,620816,0,585590,585606,0,0,0,0,0
150017.SZ.parquet,True,620816,0,547743,547744,28,28,28,28,0
150018.SZ.parquet,True,619611,0,286478,286482,0,0,0,0,0
150019.SZ.parquet,True,619611,0,22575,22575,0,0,0,0,0
150020.SZ.parquet,True,421268,0,390748,390746,0,0,0,0,0
150021.SZ.parquet,True,421268,0,361592,361604,0,0,0,0,0
150022.SZ.parquet,True,595752,0,289106,289111,0,0,0,0,0
150023.SZ.parquet,True,595752,0,101039,101064,0,0,0,0,0
150025.SZ.parquet,True,172315,0,154617,154620,0,0,0,0,0
150026.SZ.parquet,True,172315,0,132124,132107,0,0,0,0,0
150027.SZ.parquet,True,288236,0,234141,234141,0,0,0,0,0
150028.SZ.parquet,True,575026,0,453839,453855,0,0,0,0,0
150029.SZ.parquet,True,575267,0,292083,292088,0,0,0,0,0
150030.SZ.parquet,True,564663,241,468503,468503,0,0,0,0,0
150031.SZ.parquet,True,564663,0,331562,331564,0,0,0,0,0
150032.SZ.parquet,True,560325,0,521039,521052,0,0,0,0,0
150033.SZ.parquet,True,560325,0,491462,491468,0,0,0,0,0
150034.SZ.parquet,True,283657,241,252168,252169,0,0,0,0,0
150035.SZ.parquet,True,283657,241,189484,189486,0,0,0,0,0
150036.SZ.parquet,True,522006,0,504168,504177,0,0,0,0,0
150037.SZ.parquet,True,522006,0,495897,495907,0,0,0,0,0
150038.SZ.parquet,True,160024,0,132645,132645,0,0,0,0,0
150039.SZ.parquet,True,351619,0,342661,342661,0,0,0,0,0
150040.SZ.parquet,True,351619,0,340744,340748,0,0,0,0,0
150041.SZ.parquet,True,167254,0,152280,152280,0,0,0,0,0
150042.SZ.parquet,True,276909,0,249703,249704,0,0,0,0,0
150043.SZ.parquet,True,160265,0,133064,133066,0,0,0,0,0
150044.SZ.parquet,True,161229,0,155912,155912,121,121,121,121,0
150045.SZ.parquet,True,161229,0,126880,126881,9,9,9,9,0
150046.SZ.parquet,True,160988,0,136151,136151,0,0,0,0,0
150047.SZ.parquet,True,480072,0,455827,455825,0,0,0,0,0
150048.SZ.parquet,True,480072,0,414650,414656,0,0,0,0,0
150049.SZ.parquet,True,501521,0,463616,463626,0,0,0,0,0
150050.SZ.parquet,True,501521,0,429053,429058,0,0,0,0,0
150051.SZ.parquet,True,520560,0,397556,397559,0,0,0,0,0
150052.SZ.parquet,True,520560,0,201249,201254,0,0,0,0,0
150053.SZ.parquet,True,460069,0,435410,435411,0,0,0,0,0
150054.SZ.parquet,True,460069,0,416727,416730,0,0,0,0,0
150055.SZ.parquet,True,461274,0,443801,443803,0,0,0,0,0
150056.SZ.parquet,True,461274,0,427804,427813,0,0,0,0,0
150057.SZ.parquet,True,378611,0,358406,358414,0,0,0,0,0
150058.SZ.parquet,True,378852,0,337995,338006,0,0,0,0,0
150059.SZ.parquet,True,514535,0,461900,461907,0,0,0,0,0
150060.SZ.parquet,True,514535,0,303484,303503,0,0,0,0,0
150061.SZ.parquet,True,171833,0,163790,163790,0,0,0,0,0
150062.SZ.parquet,True,161711,0,151912,151912,0,0,0,0,0
150063.SZ.parquet,True,161711,0,135592,135593,0,0,0,0,0
150064.SZ.parquet,True,504895,0,482085,482089,0,0,0,0,0
150065.SZ.parquet,True,504895,0,470360,470364,0,0,0,0,0
150066.SZ.parquet,True,477903,241,458154,458162,0,0,0,0,0
150067.SZ.parquet,True,477903,241,463180,463180,0,0,0,0,0
150068.SZ.parquet,True,164844,0,153722,153722,0,0,0,0,0
150069.SZ.parquet,True,171351,0,163421,163423,0,0,0,0,0
150070.SZ.parquet,True,171351,0,135467,135476,0,0,0,0,0
150071.SZ.parquet,True,170387,0,162917,162917,0,0,0,0,0
150072.SZ.parquet,True,170146,0,129594,129596,0,0,0,0,0
150073.SZ.parquet,True,415002,0,394718,394727,0,0,0,0,0
150075.SZ.parquet,True,415002,0,370281,370285,0,0,0,0,0
150076.SZ.parquet,True,356921,241,342278,342280,0,0,0,0,0
150077.SZ.parquet,True,356921,0,327817,327836,0,0,0,0,0
150078.SZ.parquet,True,170869,0,146562,146569,0,0,0,0,0
150079.SZ.parquet,True,109414,0,106976,106977,0,0,0,0,0
150080.SZ.parquet,True,161229,0,158684,158684,0,0,0,0,0
150081.SZ.parquet,True,160265,0,145387,145387,0,0,0,0,0
150082.SZ.parquet,True,163398,0,156800,156830,0,0,0,0,0
150083.SZ.parquet,True,465612,0,447092,447092,0,0,0,0,0
150084.SZ.parquet,True,465612,0,422352,422358,0,0,0,0,0
150085.SZ.parquet,True,289200,0,222130,222129,0,0,0,0,0
150086.SZ.parquet,True,289682,0,60531,60532,0,0,0,0,0
150088.SZ.parquet,True,243169,0,224083,224084,0,0,0,0,0
150089.SZ.parquet,True,243169,0,212651,212656,0,0,0,0,0
150090.SZ.parquet,True,342461,0,319585,319591,0,0,0,0,0
150091.SZ.parquet,True,342461,0,291699,291699,0,0,0,0,0
150092.SZ.parquet,True,454285,0,434508,434600,0,0,0,0,0
150093.SZ.parquet,True,454285,0,428982,428986,0,0,0,0,0
150094.SZ.parquet,True,477421,0,464788,464794,0,0,0,0,0
150095.SZ.parquet,True,477421,0,446009,446009,0,0,0,0,0
150096.SZ.parquet,True,288477,0,249013,249012,0,0,0,0,0
150097.SZ.parquet,True,288477,0,96003,96014,0,0,0,0,0
150098.SZ.parquet,True,173520,0,131188,131187,0,0,0,0,0
150099.SZ.parquet,True,173761,0,93539,93550,0,0,0,0,0
150100.SZ.parquet,True,481518,0,392958,392963,0,0,0,0,0
150101.SZ.parquet,True,481518,241,264654,264683,0,0,0,0,0
150102.SZ.parquet,True,161711,0,154307,154335,0,0,0,0,0
150104.SZ.parquet,True,463202,0,450073,450094,0,0,0,0,0
150105.SZ.parquet,True,463202,0,429485,429494,0,0,0,0,0
150106.SZ.parquet,True,405121,0,354358,354357,0,0,0,0,0
150107.SZ.parquet,True,405121,0,222467,222466,0,0,0,0,0
150108.SZ.parquet,True,290164,0,274391,274393,0,0,0,0,0
150109.SZ.parquet,True,290405,0,232128,232132,0,0,0,0,0
150110.SZ.parquet,True,151107,0,145411,145412,0,0,0,0,0
150111.SZ.parquet,True,151107,0,138004,138007,0,0,0,0,0
150112.SZ.parquet,True,318361,0,302817,302833,0,0,0,0,0
150113.SZ.parquet,True,318843,0,285758,285833,0,0,0,0,0
150114.SZ.parquet,True,161711,0,153695,153699,0,0,0,0,0
150115.SZ.parquet,True,77843,0,74404,74411,0,0,0,0,0
150117.SZ.parquet,True,459105,0,363549,363554,0,0,0,0,0
150118.SZ.parquet,True,459105,0,123567,123570,0,0,0,0,0
150120.SZ.parquet,True,166290,0,154574,154582,0,0,0,0,0
150121.SZ.parquet,True,308239,0,291639,291654,0,0,0,0,0
150122.SZ.parquet,True,308239,0,278693,278710,0,0,0,0,0
150123.SZ.parquet,True,448019,0,406600,406599,0,0,0,0,0
150124.SZ.parquet,True,448019,0,315082,315090,0,0,0,0,0
150127.SZ.parquet,True,75433,0,73727,73742,0,0,0,0,0
150128.SZ.parquet,True,168941,0,158098,158098,0,0,0,0,0
150129.SZ.parquet,True,161711,0,157295,157301,0,0,0,0,0
150130.SZ.parquet,True,428739,0,286031,286032,0,0,0,0,0
150131.SZ.parquet,True,428739,0,64154,64154,0,0,0,0,0
150132.SZ.parquet,True,111342,0,88556,88564,0,0,0,0,0
150133.SZ.parquet,True,227504,0,216554,216555,0,0,0,0,0
150134.SZ.parquet,True,227504,0,206348,206352,0,0,0,0,0
150135.SZ.parquet,True,291851,0,281633,281632,0,0,0,0,0
150136.SZ.parquet,True,291851,0,265584,265584,0,0,0,0,0
150137.SZ.parquet,True,103389,0,85993,85993,0,0,0,0,0
150138.SZ.parquet,True,313541,0,302084,302116,308,308,308,308,0
150139.SZ.parquet,True,313541,0,286711,286719,0,0,0,0,0
150140.SZ.parquet,True,236421,0,220828,220857,0,0,0,0,0
150141.SZ.parquet,True,236421,0,201140,201148,0,0,0,0,0
150142.SZ.parquet,True,143154,0,119538,119538,0,0,0,0,0
150143.SZ.parquet,True,405362,0,364567,364595,0,0,0,0,0
150144.SZ.parquet,True,405362,0,320548,320555,0,0,0,0,0
150145.SZ.parquet,True,421991,0,406404,406406,0,0,0,0,0
150146.SZ.parquet,True,421991,0,376790,376800,0,0,0,0,0
150147.SZ.parquet,True,166049,0,134131,134135,0,0,0,0,0
150148.SZ.parquet,True,429462,0,392549,392560,0,0,0,0,0
150149.SZ.parquet,True,429462,0,282785,282788,0,0,0,0,0
150150.SZ.parquet,True,427293,0,380125,380129,0,0,0,0,0
150151.SZ.parquet,True,427293,0,291491,291502,0,0,0,0,0
150152.SZ.parquet,True,425847,0,216060,216061,0,0,0,0,0
150153.SZ.parquet,True,425847,0,11155,11155,0,0,0,0,0
150154.SZ.parquet,True,230878,0,222399,222399,0,0,0,0,0
150156.SZ.parquet,True,226781,0,217129,217128,0,0,0,0,0
150157.SZ.parquet,True,408013,0,327304,327327,0,0,0,0,0
150158.SZ.parquet,True,408013,0,195587,195593,0,0,0,0,0
150160.SZ.parquet,True,168941,0,151194,151206,270,270,270,270,0
150161.SZ.parquet,True,165326,0,146440,146444,0,0,0,0,0
150164.SZ.parquet,True,362946,0,331368,331370,0,0,0,0,0
150165.SZ.parquet,True,362946,0,301125,301125,0,0,0,0,0
150167.SZ.parquet,True,401988,0,379846,379865,0,0,0,0,0
150168.SZ.parquet,True,401988,0,351933,351933,0,0,0,0,0
150169.SZ.parquet,True,389938,0,317969,318004,77,77,77,77,0
150170.SZ.parquet,True,389938,0,254965,254966,7,7,7,7,0
150171.SZ.parquet,True,397409,0,239250,239253,0,0,0,0,0
150172.SZ.parquet,True,397650,0,36484,36484,0,0,0,0,0
150173.SZ.parquet,True,353547,0,300511,300511,0,0,0,0,0
150174.SZ.parquet,True,353547,0,234900,234900,0,0,0,0,0
150175.SZ.parquet,True,391143,0,248746,248755,45,46,46,45,1
150176.SZ.parquet,True,391143,0,157945,157945,13,13,13,13,0
150177.SZ.parquet,True,389697,0,317063,317069,0,0,0,0,0
150178.SZ.parquet,True,389697,0,224629,224629,0,0,0,0,0
150179.SZ.parquet,True,389456,0,329307,329308,0,0,0,0,0
150233.SZ.parquet,True,188462,0,174181,174181,0,0,0,0,0
150234.SZ.parquet,True,188462,0,156396,156396,0,0,0,0,0
150235.SZ.parquet,True,331375,0,281086,281086,0,0,0,0,0
150236.SZ.parquet,True,331375,0,195245,195245,0,0,0,0,0
150237.SZ.parquet,True,324386,0,311033,311033,0,0,0,0,0
150238.SZ.parquet,True,324386,0,299450,299450,0,0,0,0,0
150241.SZ.parquet,True,234493,0,203599,203599,0,0,0,0,0
150242.SZ.parquet,True,234493,0,187985,187985,0,0,0,0,0
150243.SZ.parquet,True,322940,0,264386,264386,0,0,0,0,0
150244.SZ.parquet,True,322940,0,159017,159017,0,0,0,0,0
150245.SZ.parquet,True,324386,0,310641,310641,0,0,0,0,0
150246.SZ.parquet,True,324386,0,285108,285108,0,0,0,0,0
150247.SZ.parquet,True,322217,0,293409,293409,0,0,0,0,0
150248.SZ.parquet,True,322217,0,211550,211550,0,0,0,0,0
150249.SZ.parquet,True,329206,0,311955,311955,0,0,0,0,0
150250.SZ.parquet,True,329206,0,297256,297256,0,0,0,0,0
150251.SZ.parquet,True,328965,0,296448,296448,0,0,0,0,0
150252.SZ.parquet,True,328965,0,219453,219453,0,0,0,0,0
150255.SZ.parquet,True,302455,0,276536,276536,0,0,0,0,0
150256.SZ.parquet,True,302455,0,280088,280088,0,0,0,0,0
150257.SZ.parquet,True,321012,0,303732,303732,0,0,0,0,0
150258.SZ.parquet,True,321012,0,290095,290095,0,0,0,0,0
150259.SZ.parquet,True,326555,0,286760,286760,0,0,0,0,0
150260.SZ.parquet,True,326555,0,274313,274313,0,0,0,0,0
150261.SZ.parquet,True,327278,0,292013,292013,0,0,0,0,0
150262.SZ.parquet,True,327278,0,205181,205181,0,0,0,0,0
150263.SZ.parquet,True,318120,0,310581,310581,0,0,0,0,0
150264.SZ.parquet,True,318120,0,288348,288348,0,0,0,0,0
150265.SZ.parquet,True,320048,0,279234,279234,0,0,0,0,0
150266.SZ.parquet,True,320048,0,209002,209002,0,0,0,0,0
150267.SZ.parquet,True,301009,0,291103,291103,0,0,0,0,0
150268.SZ.parquet,True,301009,0,281015,281015,0,0,0,0,0
150269.SZ.parquet,True,327760,0,270220,270220,0,0,0,0,0
150270.SZ.parquet,True,327760,0,92204,92204,0,0,0,0,0
150271.SZ.parquet,True,327519,0,308714,308714,0,0,0,0,0
150272.SZ.parquet,True,327519,0,287638,287638,0,0,0,0,0
150273.SZ.parquet,True,329688,0,294768,294768,0,0,0,0,0
150274.SZ.parquet,True,329688,0,251731,251731,0,0,0,0,0
150275.SZ.parquet,True,329929,0,261904,261904,0,0,0,0,0
150276.SZ.parquet,True,329929,0,174500,174500,0,0,0,0,0
150277.SZ.parquet,True,327519,0,279035,279035,0,0,0,0,0
150278.SZ.parquet,True,327519,0,207843,207843,0,0,0,0,0
150279.SZ.parquet,True,299322,0,284792,284792,0,0,0,0,0
150280.SZ.parquet,True,299322,241,260013,260013,0,0,0,0,0
150281.SZ.parquet,True,318361,0,304816,304816,0,0,0,0,0
150282.SZ.parquet,True,318361,0,273026,273026,0,0,0,0,0
150283.SZ.parquet,True,322940,0,290503,290503,0,0,0,0,0
150284.SZ.parquet,True,322940,0,287454,287454,0,0,0,0,0
150287.SZ.parquet,True,324145,0,273199,273199,0,0,0,0,0
150288.SZ.parquet,True,324145,0,126076,126076,0,0,0,0,0
150289.SZ.parquet,True,323181,241,259547,259547,0,0,0,0,0
150290.SZ.parquet,True,323181,0,93096,93096,0,0,0,0,0
150291.SZ.parquet,True,312336,0,281826,281826,0,0,0,0,0
150292.SZ.parquet,True,312336,0,253604,253604,0,0,0,0,0
150293.SZ.parquet,True,319325,0,308762,308762,0,0,0,0,0
150294.SZ.parquet,True,319325,0,292461,292461,0,0,0,0,0
150295.SZ.parquet,True,320289,0,280862,280862,0,0,0,0,0
150296.SZ.parquet,True,320289,0,232860,232860,0,0,0,0,0
150297.SZ.parquet,True,315951,0,302974,302974,0,0,0,0,0
150298.SZ.parquet,True,315951,0,265394,265394,0,0,0,0,0
150299.SZ.parquet,True,325591,0,270345,270345,0,0,0,0,0
150300.SZ.parquet,True,325591,0,170388,170388,0,0,0,0,0
150301.SZ.parquet,True,325591,0,303753,303753,0,0,0,0,0
150302.SZ.parquet,True,325591,0,256237,256237,0,0,0,0,0
