field,files_present,rows,finite_rows,missing_rows,missing_rate,zero_rows,zero_rate_among_finite,positive_rows,negative_rows,late_missing_rows,late_missing_rate,min,max,constant_batch_rate,mean_batch_sample_mode_rate,max_batch_sample_mode_rate,max_batch_sample_mode_value,assessment
adx,1397,401237285,247307639,153929646,0.38363744286625806,196077,0.0007928465161563408,247111562,0,93040258,0.34710493592184205,0.0,100.00000000000001,0.00044001173364623054,0.0043436011911113384,1.0,99.99999999003079,review_late_missing
adx_w28,1227,367753950,215787443,151966507,0.41322875525878106,182167,0.0008441964808860541,215605276,0,92143570,0.37505836400865444,0.0,99.99999999999896,0.0003211819495744339,0.003445879152764641,1.0,99.99999999055386,review_late_missing
adx_w7,1227,367753950,215787443,151966507,0.41322875525878106,182577,0.0008460964987661492,215604866,0,92143570,0.37505836400865444,0.0,100.00000000000001,0.0006423638991488678,0.005369298427779653,1.0,99.99999999000006,review_late_missing
annualized_volatility,1397,401237285,367935856,33301429,0.08299684561966868,129538519,0.3520682121288011,238397337,0,2177,8.121725602930402e-06,0.0,36.700639919253625,0.00044001173364623054,0.3521688194713134,1.0,0.21987161465745447,ok
annualized_volatility_w10,1227,367753950,352490621,15263329,0.04150418778642622,169504735,0.48087729120032385,182985886,0,2121,8.633253411630959e-06,0.0,51.90254272157988,0.0003211819495744339,0.4809272952532836,1.0,0.244696691807089,ok
annualized_volatility_w40,1227,367753950,306712446,61041504,0.1659846318441991,86813750,0.2830460619781957,219898696,0,2353,9.577579103049338e-06,0.0,28.596899173912927,0.0003211819495744339,0.28321698858342476,1.0,0.18211860015125822,ok
atr,1397,401237285,377925105,23312180,0.05810073208924241,150439537,0.3980670641078475,227485568,0,2139,7.979959147757524e-06,0.0,8.80971428571429,0.00044001173364623054,0.4145161339484502,1.0,0.00035714285714285747,ok
atr_w28,1227,367753950,325023705,42730245,0.11619248413239341,106972326,0.329121612837439,218051379,0,2243,9.12983847349752e-06,0.0,6.59364285714286,0.00048177292436165086,0.3421679200894144,1.0,3.5714285714285744e-05,ok
atr_w7,1227,367753950,357068440,10685510,0.029056139301834826,188120102,0.5268460634605512,168948338,0,2110,8.588479348675777e-06,0.0,12.809857142857144,0.0008029548739360848,0.5421983184965381,1.0,0.0,ok
awesome_oscillator,1397,401237285,346292491,54944794,0.13693840541264754,98783738,0.2852609876545085,122573697,124935056,2287,8.532102183693997e-06,-13.292205882352931,17.72823529411764,0.00044001173364623054,0.2852670797354561,1.0,-0.0008058823529411008,ok
awesome_oscillator_s10_l68,1227,367753950,265512145,102241805,0.2780168778608632,58077785,0.21873871344001986,102738054,104696306,2697,1.0977786162738658e-05,-11.171823529411768,15.960779411764705,0.0003211819495744339,0.21921118079995142,1.0,-0.0007911764705883506,likely_session_warmup
awesome_oscillator_s3_l10,1227,367753950,354016560,13737390,0.037354840104368695,173842892,0.491058644262291,89587465,90586203,2118,8.621042303552272e-06,-13.299999999999997,14.14,0.0006423638991488678,0.4882330535412443,1.0,0.0,ok
bollinger_band_width,1397,401237285,369600731,31636554,0.07884749294921582,100892259,0.2729763513373571,268708472,0,2169,8.091880033420322e-06,0.0,0.4464164233154657,0.00044001173364623054,0.27311900402427897,1.0,0.005030186282377998,ok
bollinger_band_width_w10,1227,367753950,354016561,13737389,0.03735483738515929,108170253,0.30555139198699804,245846308,0,2117,8.61697193419271e-06,0.0,0.6474864678955367,0.00016059097478721696,0.3071345401278064,1.0,0.003620033505128052,ok
bollinger_band_width_w40,1227,367753950,308238384,59515566,0.16183528688135096,64973771,0.2107906554558111,243264613,0,2342,9.532805040094155e-06,0.0,0.4289006859425744,0.0003211819495744339,0.2111383427144852,1.0,0.004058944887730209,ok
cci,1397,401237285,369600730,31636555,0.07884749544150664,131934792,0.35696572352549194,118183292,119482646,2170,8.095610729609083e-06,-666.6663094853996,666.6664350646425,0.00044001173364623054,0.3568580918439929,1.0,-98.64364981504671,ok
cci_w10,1227,367753950,354016560,13737390,0.037354840104368695,173505304,0.49010505045300706,89998578,90512678,2118,8.621042303552272e-06,-333.3332683560875,333.3332734609921,0.0006423638991488678,0.48715976162924934,1.0,0.0,ok
cci_w40,1227,367753950,308238383,59515567,0.16183528960056037,88027469,0.2855824383169049,109498555,110712359,2343,9.536875409453718e-06,-1333.3319412430008,1333.332173213533,0.0003211819495744339,0.28549539175887384,1.0,-130.51422605064496,ok
cmo,1397,401237285,379593780,21643505,0.05394190871369295,185490374,0.488654935283713,96259447,97843959,0,0.0,-99.99999995143274,99.99999995049505,0.00044001173364623054,0.48760545380596143,1.0,-49.9998750003125,ok
cmo_w28,1227,367753950,326553300,41200650,0.11203319502074689,134855888,0.41296746350442637,95014261,96683151,0,0.0,-99.99999995833333,99.99999995432955,0.0003211819495744339,0.41289091460537847,1.0,-33.33327777787037,ok
cmo_w7,1227,367753950,358598250,9155700,0.024896265560165973,216877822,0.604793308388984,70467292,71253136,0,0.0,-99.99999995143274,99.9999999515034,0.0003211819495744339,0.6048464886567916,1.0,-33.33322222259259,ok
ema,1397,401237285,401233356,3929,9.792210611733154e-06,0,0.0,401233356,0,2081,7.763578768809447e-06,0.13067009630760845,165.43588742127153,0.0002933411557641537,0.019404318562424024,1.0,0.5708580711474207,ok
ema_w10,1227,367753950,367750021,3929,1.068377375688283e-05,0,0.0,367750021,0,2081,8.470438637248479e-06,0.13044812512806506,166.5352100966694,0.00016059097478721696,0.02109899663910558,1.0,0.5705808694334875,ok
ema_w40,1227,367753950,367750021,3929,1.068377375688283e-05,0,0.0,367750021,0,2081,8.470438637248479e-06,0.13081869662720944,163.46002127703755,0.00016059097478721696,0.02101207245526624,1.0,0.5711586383511559,ok
fractional_diff_log_close_d04,1357,388906761,309831044,79075717,0.20332821367433104,43615704,0.1407725431154665,131923128,134292212,2451,9.433850389548162e-06,-0.6672718277094892,0.2736954254118189,0.0003023888720895071,0.14626317819192186,1.0,0.0038516693294793555,likely_session_warmup
garman_klass_volatility,1397,401237285,369600730,31636555,0.07884749544150664,217673960,0.5889435337424793,151926770,0,2170,8.095610729609083e-06,0.0,0.07257732840842449,0.0023467292461132297,0.5888307606072477,1.0,0.0,ok
garman_klass_volatility_w10,1227,367753950,354016560,13737390,0.037354840104368695,242596861,0.6852698105421962,111419699,0,2118,8.621042303552272e-06,0.0,0.10227374617311315,0.007226593865424763,0.6822143231198753,1.0,0.0,ok
garman_klass_volatility_w40,1227,367753950,308238383,59515567,0.16183528960056037,172423937,0.5593850296054791,135814446,0,2343,9.536875409453718e-06,0.0,0.06374244553223625,0.0014453187730849527,0.5592918030336917,1.0,0.0,ok
historical_volatility,1397,401237285,367935856,33301429,0.08299684561966868,129538519,0.3520682121288011,238397337,0,2177,8.121725602930402e-06,0.0,36.700639919253625,0.00044001173364623054,0.3521688194713134,1.0,0.21987161465745447,ok
historical_volatility_w10,1227,367753950,352490621,15263329,0.04150418778642622,169504735,0.48087729120032385,182985886,0,2121,8.633253411630959e-06,0.0,51.90254272157988,0.0003211819495744339,0.4809272952532836,1.0,0.244696691807089,ok
historical_volatility_w40,1227,367753950,306712446,61041504,0.1659846318441991,86813750,0.2830460619781957,219898696,0,2353,9.577579103049338e-06,0.0,28.596899173912927,0.0003211819495744339,0.28321698858342476,1.0,0.18211860015125822,ok
liquidity_depth,1397,401237285,319654532,81582753,0.20332794595596967,76350279,0.23885248403110393,223967391,19336862,2451,9.143936358650627e-06,-3243.0729863642555,32662.13029469344,0.00044001173364623054,0.23856420329998335,1.0,1374.4172414959182,likely_session_warmup
liquidity_depth_w30,1227,367753950,323497767,44256183,0.12034182909524153,105809827,0.3270805482870613,193140818,24547122,2251,9.162401428374016e-06,-10090.479089752525,22301.565533801444,0.0003211819495744339,0.3265292378886353,1.0,2559.5283054670226,ok
liquidity_depth_w80,1227,367753950,247200904,120553046,0.32780897662689956,49763104,0.2013063188474424,188420630,9017170,2952,1.2015730349426964e-05,-2109.794272964327,43885.76312232941,0.0003211819495744339,0.20152216325444178,1.0,1318.0995428576905,likely_session_warmup
liquidity_migration,1397,401237285,319654532,81582753,0.20332794595596967,87176776,0.2727218521025067,97562426,134915330,2451,9.143936358650627e-06,-0.9999999999999998,24999995.875000514,0.00044001173364623054,0.27374395660736756,1.0,0.5056011949213473,likely_session_warmup
liquidity_migration_w30,1227,367753950,323497767,44256183,0.12034182909524153,115221906,0.3561752746194381,86820431,121455430,2251,9.162401428374016e-06,-0.9999999999999999,15005346.874598986,0.0003211819495744339,0.35579150267974546,1.0,44.839080459383574,ok
liquidity_migration_w80,1227,367753950,247200904,120553046,0.32780897662689956,59454320,0.24051012370084213,78356141,109390443,2952,1.2015730349426964e-05,-0.9999999999999999,9086748.636530055,0.0003211819495744339,0.2405696517924743,1.0,-0.4772993034723723,likely_session_warmup
liquidity_ratio,1397,401237285,319654532,81582753,0.20332794595596967,76345402,0.23883722693473342,243309130,0,2451,9.143936358650627e-06,0.0,1680703953.8060234,0.00044001173364623054,0.2385509928782817,1.0,638486.0737390284,likely_session_warmup
liquidity_ratio_w30,1227,367753950,323497767,44256183,0.12034182909524153,105797328,0.3270419112352018,217700439,0,2251,9.162401428374016e-06,0.0,1243864922.789492,0.0003211819495744339,0.3264925500435557,1.0,620167.7520443683,ok
liquidity_ratio_w80,1227,367753950,247200904,120553046,0.32780897662689956,49761247,0.20129880673899153,197439657,0,2952,1.2015730349426964e-05,0.0,815058222.3035998,0.0003211819495744339,0.20151582263288745,1.0,901101.3019436686,likely_session_warmup
liquidity_shock,1397,401237285,319654532,81582753,0.20332794595596967,77176701,0.24143784390330497,26470892,216006939,2451,9.143936358650627e-06,-1.8403635554549351,123276744.46853691,0.00044001173364623054,0.24089994596737366,1.0,2.8622894691991805,likely_session_warmup
liquidity_shock_w10,1227,367753950,354016561,13737389,0.03735483738515929,182724486,0.5161467177802453,28763665,142528410,2117,8.61697193419271e-06,-1110000000.000001,108334041.47927345,0.0006423638991488678,0.5154290795507482,1.0,0.0,ok
liquidity_shock_w20,1227,367753950,338757161,28996789,0.07884834139782863,133670035,0.3945895478796978,27376017,177711109,2169,8.828631140889933e-06,-4.420293898190992,156410604.92952463,0.0003211819495744339,0.3946359451321664,1.0,1.6311912493312763,ok
log_returns,1357,388906761,380834277,8072484,0.020756862079854662,242191842,0.635950744528177,69010804,69631631,2101,8.086707331065153e-06,-0.6673946844575306,0.27388875031944504,0.0006047777441790142,0.6331669815531223,1.0,0.0,ok
lsma,1397,401237285,369600731,31636554,0.07884749294921582,133781442,0.36196206008044934,116747848,119071441,2169,8.091880033420322e-06,-1.4285714285714286,1.349624060150376,0.00044001173364623054,0.36203908918727984,1.0,-8.872180451127827e-05,ok
lsma_w10,1227,367753950,354016561,13737389,0.03735483738515929,178046607,0.5029329884937219,87423455,88546499,2117,8.61697193419271e-06,-3.1196969696969683,3.0606060606060588,0.0006423638991488678,0.49983385979791173,1.0,0.0,ok
lsma_w40,1227,367753950,308238384,59515566,0.16183528688135096,88787042,0.28804667623744096,108510913,110940429,2342,9.532805040094155e-06,-0.7114333958724202,0.6668105065666042,0.0003211819495744339,0.28819770317021876,1.0,-1.4071294559099449e-05,ok
