file,factor_rows,factor_columns,source_exists,source_rows,source_duplicate_timestamps,source_nonmonotonic_timestamps,source_invalid_ohlc_rows,source_trade_days,source_min_bars_per_day,source_max_bars_per_day,source_days_lt_200_bars,row_count_difference
150001.SZ.parquet,380780,156,True,380780,0,0,0,1580,241,241,0,0
150002.SZ.parquet,208706,156,True,208706,0,0,0,866,241,241,0,0
150003.SZ.parquet,245579,156,True,245579,0,0,0,1019,241,241,0,0
150006.SZ.parquet,173279,156,True,173279,0,0,0,719,241,241,0,0
150007.SZ.parquet,173279,156,True,173279,0,0,0,719,241,241,0,0
150008.SZ.parquet,632384,156,True,632384,0,0,0,2624,241,241,0,0
150009.SZ.parquet,632384,156,True,632384,0,0,0,2624,241,241,0,0
150010.SZ.parquet,171833,156,True,171833,0,0,0,713,241,241,0,0
150011.SZ.parquet,171833,156,True,171833,0,0,0,713,241,241,0,0
150012.SZ.parquet,612863,156,True,612863,0,0,0,2543,241,241,0,0
150013.SZ.parquet,612863,156,True,612863,0,0,0,2543,241,241,0,0
150016.SZ.parquet,620816,156,True,620816,0,0,0,2576,241,241,0,0
150017.SZ.parquet,620816,156,True,620816,0,0,0,2576,241,241,0,0
150018.SZ.parquet,619611,156,True,619611,0,0,0,2571,241,241,0,0
150019.SZ.parquet,619611,156,True,619611,0,0,0,2571,241,241,0,0
150020.SZ.parquet,421268,156,True,421268,0,0,0,1748,241,241,0,0
150021.SZ.parquet,421268,156,True,421268,0,0,0,1748,241,241,0,0
150022.SZ.parquet,595752,156,True,595752,0,0,0,2472,241,241,0,0
150023.SZ.parquet,595752,156,True,595752,0,0,0,2472,241,241,0,0
150025.SZ.parquet,172315,156,True,172315,0,0,0,715,241,241,0,0
150026.SZ.parquet,172315,156,True,172315,0,0,0,715,241,241,0,0
150027.SZ.parquet,288236,156,True,288236,0,0,0,1196,241,241,0,0
150028.SZ.parquet,575026,156,True,575026,0,0,0,2386,241,241,0,0
150029.SZ.parquet,575267,156,True,575267,0,0,0,2387,241,241,0,0
150030.SZ.parquet,564663,156,True,564663,0,0,0,2343,241,241,0,0
150031.SZ.parquet,564663,156,True,564663,0,0,0,2343,241,241,0,0
150032.SZ.parquet,560325,156,True,560325,0,0,0,2325,241,241,0,0
150033.SZ.parquet,560325,156,True,560325,0,0,0,2325,241,241,0,0
150034.SZ.parquet,283657,156,True,283657,0,0,0,1177,241,241,0,0
150035.SZ.parquet,283657,156,True,283657,0,0,0,1177,241,241,0,0
150036.SZ.parquet,522006,156,True,522006,0,0,0,2166,241,241,0,0
150037.SZ.parquet,522006,156,True,522006,0,0,0,2166,241,241,0,0
150038.SZ.parquet,160024,156,True,160024,0,0,0,664,241,241,0,0
150039.SZ.parquet,351619,156,True,351619,0,0,0,1459,241,241,0,0
150040.SZ.parquet,351619,156,True,351619,0,0,0,1459,241,241,0,0
150041.SZ.parquet,167254,156,True,167254,0,0,0,694,241,241,0,0
150042.SZ.parquet,276909,156,True,276909,0,0,0,1149,241,241,0,0
150043.SZ.parquet,160265,156,True,160265,0,0,0,665,241,241,0,0
150044.SZ.parquet,161229,156,True,161229,0,0,0,669,241,241,0,0
150045.SZ.parquet,161229,156,True,161229,0,0,0,669,241,241,0,0
150046.SZ.parquet,160988,156,True,160988,0,0,0,668,241,241,0,0
150047.SZ.parquet,480072,156,True,480072,0,0,0,1992,241,241,0,0
150048.SZ.parquet,480072,156,True,480072,0,0,0,1992,241,241,0,0
150049.SZ.parquet,501521,156,True,501521,0,0,0,2081,241,241,0,0
150050.SZ.parquet,501521,156,True,501521,0,0,0,2081,241,241,0,0
150051.SZ.parquet,520560,156,True,520560,0,0,0,2160,241,241,0,0
150052.SZ.parquet,520560,156,True,520560,0,0,0,2160,241,241,0,0
150053.SZ.parquet,460069,156,True,460069,0,0,0,1909,241,241,0,0
150054.SZ.parquet,460069,156,True,460069,0,0,0,1909,241,241,0,0
150055.SZ.parquet,461274,156,True,461274,0,0,0,1914,241,241,0,0
150056.SZ.parquet,461274,156,True,461274,0,0,0,1914,241,241,0,0
150057.SZ.parquet,378611,156,True,378611,0,0,0,1571,241,241,0,0
150058.SZ.parquet,378852,156,True,378852,0,0,0,1572,241,241,0,0
150059.SZ.parquet,514535,156,True,514535,0,0,0,2135,241,241,0,0
150060.SZ.parquet,514535,156,True,514535,0,0,0,2135,241,241,0,0
150061.SZ.parquet,171833,156,True,171833,0,0,0,713,241,241,0,0
150062.SZ.parquet,161711,156,True,161711,0,0,0,671,241,241,0,0
150063.SZ.parquet,161711,156,True,161711,0,0,0,671,241,241,0,0
150064.SZ.parquet,504895,156,True,504895,0,0,0,2095,241,241,0,0
150065.SZ.parquet,504895,156,True,504895,0,0,0,2095,241,241,0,0
150066.SZ.parquet,477903,156,True,477903,0,0,0,1983,241,241,0,0
150067.SZ.parquet,477903,156,True,477903,0,0,0,1983,241,241,0,0
150068.SZ.parquet,164844,156,True,164844,0,0,0,684,241,241,0,0
150069.SZ.parquet,171351,156,True,171351,0,0,0,711,241,241,0,0
150070.SZ.parquet,171351,156,True,171351,0,0,0,711,241,241,0,0
150071.SZ.parquet,170387,156,True,170387,0,0,0,707,241,241,0,0
150072.SZ.parquet,170146,156,True,170146,0,0,0,706,241,241,0,0
150073.SZ.parquet,415002,156,True,415002,0,0,0,1722,241,241,0,0
150075.SZ.parquet,415002,156,True,415002,0,0,0,1722,241,241,0,0
150076.SZ.parquet,356921,156,True,356921,0,0,0,1481,241,241,0,0
150077.SZ.parquet,356921,156,True,356921,0,0,0,1481,241,241,0,0
150078.SZ.parquet,170869,156,True,170869,0,0,0,709,241,241,0,0
150079.SZ.parquet,109414,156,True,109414,0,0,0,454,241,241,0,0
150080.SZ.parquet,161229,156,True,161229,0,0,0,669,241,241,0,0
150081.SZ.parquet,160265,156,True,160265,0,0,0,665,241,241,0,0
150082.SZ.parquet,163398,156,True,163398,0,0,0,678,241,241,0,0
150083.SZ.parquet,465612,156,True,465612,0,0,0,1932,241,241,0,0
150084.SZ.parquet,465612,156,True,465612,0,0,0,1932,241,241,0,0
150085.SZ.parquet,289200,156,True,289200,0,0,0,1200,241,241,0,0
150086.SZ.parquet,289682,156,True,289682,0,0,0,1202,241,241,0,0
150088.SZ.parquet,243169,156,True,243169,0,0,0,1009,241,241,0,0
150089.SZ.parquet,243169,156,True,243169,0,0,0,1009,241,241,0,0
150090.SZ.parquet,342461,156,True,342461,0,0,0,1421,241,241,0,0
150091.SZ.parquet,342461,156,True,342461,0,0,0,1421,241,241,0,0
150092.SZ.parquet,454285,156,True,454285,0,0,0,1885,241,241,0,0
150093.SZ.parquet,454285,156,True,454285,0,0,0,1885,241,241,0,0
150094.SZ.parquet,477421,156,True,477421,0,0,0,1981,241,241,0,0
150095.SZ.parquet,477421,156,True,477421,0,0,0,1981,241,241,0,0
150096.SZ.parquet,288477,156,True,288477,0,0,0,1197,241,241,0,0
150097.SZ.parquet,288477,156,True,288477,0,0,0,1197,241,241,0,0
150098.SZ.parquet,173520,156,True,173520,0,0,0,720,241,241,0,0
150099.SZ.parquet,173761,156,True,173761,0,0,0,721,241,241,0,0
150100.SZ.parquet,481518,156,True,481518,0,0,0,1998,241,241,0,0
150101.SZ.parquet,481518,156,True,481518,0,0,0,1998,241,241,0,0
150102.SZ.parquet,161711,156,True,161711,0,0,0,671,241,241,0,0
150104.SZ.parquet,463202,156,True,463202,0,0,0,1922,241,241,0,0
150105.SZ.parquet,463202,156,True,463202,0,0,0,1922,241,241,0,0
150106.SZ.parquet,405121,156,True,405121,0,0,0,1681,241,241,0,0
150107.SZ.parquet,405121,156,True,405121,0,0,0,1681,241,241,0,0
150108.SZ.parquet,290164,156,True,290164,0,0,0,1204,241,241,0,0
150109.SZ.parquet,290405,156,True,290405,0,0,0,1205,241,241,0,0
150110.SZ.parquet,151107,156,True,151107,0,0,0,627,241,241,0,0
150111.SZ.parquet,151107,156,True,151107,0,0,0,627,241,241,0,0
150112.SZ.parquet,318361,156,True,318361,0,0,0,1321,241,241,0,0
150113.SZ.parquet,318843,156,True,318843,0,0,0,1323,241,241,0,0
150114.SZ.parquet,161711,156,True,161711,0,0,0,671,241,241,0,0
150115.SZ.parquet,77843,156,True,77843,0,0,0,323,241,241,0,0
150117.SZ.parquet,459105,156,True,459105,0,0,0,1905,241,241,0,0
150118.SZ.parquet,459105,156,True,459105,0,0,0,1905,241,241,0,0
